Year,Week,Cases,Rainfall
2010,16,7,0
2010,17,5,0
2010,18,9,0
2010,19,3,0
2010,20,3,0
2010,21,7,0
2010,22,9,0
2010,23,7,0.773029
2010,24,3,32.279993
2010,25,6,32.59536
2010,26,5,0
2010,27,10,37.26966
2010,28,6,79.6322
2010,29,5,36.57191
2010,30,6,55.21255
2010,31,9,144.36455
2010,32,15,129.1578
2010,33,23,153.931166
2010,34,11,25.18535
2010,35,24,28.56972
2010,36,28,47.609674
2010,37,43,88.4999
2010,38,38,68.009784
2010,39,36,0
2010,40,27,2.6991
2010,41,47,0
2010,42,58,1.6593
2010,43,42,0
2010,44,35,0
2010,45,20,0
2010,46,23,3.724377
2010,47,10,5.2042
2010,48,12,12.934577
2010,49,10,0
2010,50,3,0
2010,51,7,0
2010,52,6,0
2010,53,14,0.91769
2011,1,0,0
2011,2,2,0
2011,3,3,0
2011,4,1,0
2011,5,2,0
2011,6,3,0
2011,7,4,0
2011,8,0,0
2011,9,3,0
2011,10,6,0
2011,11,3,0
2011,12,6,0
2011,13,0,0
2011,14,3,0
2011,15,1,0
2011,16,0,0
2011,17,6,0
2011,18,5,0
2011,19,0,0
2011,20,1,0
2011,21,1,0
2011,22,1,0
2011,23,3,4.2154
2011,24,0,4.841985
2011,25,4,0
2011,26,4,77.7829
2011,27,6,4.20332
2011,28,2,63.2119
2011,29,4,57.442977
2011,30,8,12.42196
2011,31,5,120.3658
2011,32,9,70.595636
2011,33,13,243.96901
2011,34,23,77.864234
2011,35,13,32.52635
2011,36,12,119.4594
2011,37,29,20.33454
2011,38,36,46.694816
2011,39,46,1.75958
2011,40,36,0
2011,41,35,0
2011,42,50,0
2011,43,58,0
2011,44,29,0
2011,45,29,0
2011,46,41,0
2011,47,25,0
2011,48,37,0
2011,49,16,0
2011,50,15,0
2011,51,17,0
2011,52,7,0
2011,53,6,0
2012,1,8,0
2012,2,5,0
2012,3,4,0
2012,4,2,0
2012,5,2,0
2012,6,3,0
2012,7,2,0
2012,8,2,0
2012,9,0,0
2012,10,0,0
2012,11,4,0
2012,12,3,0
2012,13,1,0
2012,14,0,0
2012,15,2,0
2012,16,2,1.5027
2012,17,1,0
2012,18,3,0
2012,19,0,0
2012,20,2,0
2012,21,2,0
2012,22,2,0
2012,23,3,3.1026
2012,24,2,16.46292
2012,25,2,26.6186
2012,26,5,0.65544
2012,27,2,32.447819
2012,28,8,68.8458
2012,29,3,1.69662
2012,30,8,0.079336
2012,31,12,8.609339
2012,32,15,26.586079
2012,33,34,152.63162
2012,34,19,9.364786
2012,35,14,51.19307
2012,36,30,185.67871
2012,37,40,88.1913
2012,38,18,0.211449
2012,39,36,7.6134
2012,40,49,0
2012,41,40,0
2012,42,28,0
2012,43,30,0
2012,44,42,0
2012,45,38,0
2012,46,21,0
2012,47,19,0
2012,48,21,0
2012,49,11,0
2012,50,4,0
2012,51,3,0
2012,52,9,0
2012,53,2,0
